"index.typestatus","reps"
"paratype of phagostrophus pertinens",3
"paratype of pheidole boliviana",3
"paratype of pheidole calimana",3
"paratype of pheidole cataphracta",3
"paratype of pheidole clydei",3
"paratype of pheidole crinita",3
"paratype of pheidole davidsonae",3
"paratype of pheidole embolopyx",3
"paratype of pheidole eriophora",3
"paratype of pheidole fissiceps",3
"paratype of pheidole gigaflavens",3
"paratype of pheidole glyphoderma",3
"paratype of pheidole gradifer",3
"paratype of pheidole gravida",3
"paratype of pheidole gulo",3
"paratype of pheidole kugleri",3
"paratype of pheidole kuna",3
"paratype of pheidole micon",3
"paratype of pheidole moffetti",3
"paratype of pheidole mosenopsis",3
"paratype of pheidole nesiota",3
"paratype of pheidole peckorum",3
"paratype of pheidole pelor",3
"paratype of pheidole peltastes",3
"paratype of pheidole peruviana",3
"paratype of pheidole sabella",3
"paratype of pheidole tachirana",3
"paratype of pheidole tambopatae",3
"paratype of pheidole tarchon",3
"paratype of pheidole tayrona",3
"paratype of pheidole tenuis",3
"paratype of pheidole thrasys",3
"paratype of pheidole wardi",3
"paratype of pheidole xyston",3
"paratype of phenacosaurus richteri",3
"paratype of phiale maculosa",3
"paratype of philander cicur",3
"paratype of philautus hazelae",3
"paratype of philautus polillensis",3
"paratype of phoroncidia vatoharanana",3
"paratype of phoroncidia wrightae",3
"paratype of phrynobatrachus chukuchuku| genetic voucher of phrynobatrachus",3
"paratype of phrynobatrachus natalensis duckeri",3
"paratype of phrynobatrachus njiomock| genetic voucher of phrynobatrachus steindachneri| genetic voucher of phrynobatrachus steindachneri",3
"paratype of phrynosoma schmidti",3
"paratype of phrynus eucharis",3
"paratype of phyllonastes myrmecoides",3
"paratype of phymaturus patagonicus patagonicus",3
"paratype of physa nodulosa",3
"paratype of pituophis catenifer insularis",3
"paratype of placocyathus maoensis",3
"paratype of plagioptycha duclosiana utowana",3
"paratype of platymantis magnus",3
"paratype of platysaurus maculatus maculatus",3
"paratype of platysaurus ocellatus",3
"paratype of platyurosternarchus crypticus",3
"paratype of plectina eocenica",3
"paratype of plesionika mexicana",3
"paratype of plethodon huldae",3
"paratype of plethodon yonahlossee",3
"paratype of plutonaster proteus",3
"paratype of pogonomyrmex anergismus",3
"paratype of pogonomyrmex bicolor",3
"paratype of pogonomyrmex magnacanthus",3
"paratype of polydontes torrei",3
"paratype of polymita picta multifasciata",3
"paratype of polymita picta roseolimbata",3
"paratype of polymita sulphurosa var. flammulata",3
"paratype of polymita venusta var. rubiginosa",3
"paratype of poptella brevispina",3
"paratype of potamopyrgus cheatumi",3
"paratype of pristomyrmex foveolatus",3
"paratype of probolaeum corrugatus",3
"paratype of proboscicaris agnosta",3
"paratype of probreviceps macrodactylus rungwensis",3
"paratype of procambarus escambiensis",3
"paratype of procambarus rogersi var. ochlocknensis",3
"paratype of pronous pance",3
"paratype of propithecus perrieri",3
"paratype of prosymna ornatissima",3
"paratype of protazteca quadrata",3
"paratype of pseudacris brimleyi",3
"paratype of pseudemys felis",3
"paratype of pseudemys scripta gaigae",3
"paratype of pseudoglessula cruda",3
"paratype of pseudopeas curvelliformis",3
"paratype of pseudotanais (pseudotanais) spicatus",3
"paratype of pteromys phayrei anchises",3
"paratype of ptychocochlis vendreysi",3
"paratype of ptychogena erythrogonon",3
"paratype of ptychopoda nibseata",3
"paratype of ptyodactylus sanctae-montis",3
"paratype of pyramidula solitaria strontiana",3
"paratype of pyromaia propinqua",3
"paratype of pyronia ida catalana",3
"paratype of quirosana coultasi",3
"paratype of raja bahamensis",3
"paratype of raja floridana| voucher of dipturus teevani",3
"paratype of rana arathooni",3
"paratype of rana guerreroi",3
"paratype of rana spinulosa",3
"paratype of rana woodworthi",3
"paratype of raricirrus variabilis",3
"paratype of rhacophorus linki",3
"paratype of rhadinaea sargenti",3
"paratype of rhamphiophis oxyrhynchus",3
"paratype of rhinocricus pertenuis",3
"paratype of rhipicephalus texanus",3
"paratype of rhizoprionodon (protozygaena) oligolinx",3
"paratype of rhynchiscus naso priscus",3
"paratype of rhynchotreta hancockensis",3
"paratype of sapromyza ornatipes",3
"paratype of sardinella marquesensis",3
"paratype of scaphella junonia butleri| voucher of scaphella junonia butleri",3
"paratype of scaphiella curlena",3
"paratype of scaphiella gertschi| paratype of scaphiella gertschi",3
"paratype of scaphiella simla",3
"paratype of sceloporus jarrovii oberon| additional material of sceloporus jarrovii oberon",3
"paratype of schistoceras hyatti",3
"paratype of schoutedenella kivuensis",3
"paratype of sciurus (microsciurus) browni",3
"paratype of scopelosaurus craddocki",3
"paratype of scytodes blanda",3
"paratype of selenophorus dessalinesi",3
"paratype of sidusa turquinensis",3
"paratype of sinum cortezi",3
"paratype of siphonophora obscurior",3
"paratype of solenopsis invicta",3
"paratype of solomonosoma manni",3
"paratype of sonibius parvus",3
"paratype of sphaerocoryphe robustus",3
"paratype of sphaerodactylus clenchi",3
"paratype of sphaerodactylus difficilis peratus",3
"paratype of sphaerodactylus lazelli",3
"paratype of sphaerodactylus macrolepis grandisquamis",3
"paratype of sphaerodactylus nigropunctatus ocujal",3
"paratype of sphaerodactylus ocoae",3
"paratype of sphaerodactylus parthenopion",3
"paratype of sphaerodactylus rhabdotus",3
"paratype of sphaerodactylus richardsoni gossei",3
"paratype of sphaerodactylus sabanus",3
"paratype of sphenomorphus biparietalis",3
"paratype of sphenomorphus lawtoni",3
"paratype of stemonosudis siliquiventer",3
"paratype? of stenocercus latebrosus",3
"paratype of stenoonops hoffi",3
"paratype of stenothyra austini",3
"paratype of stereopterum rotundum",3
"paratype of storeria dekayi texana",3
"paratype of strombodes sinemurus| paratype of arachnophyllum sinemurum",3
"paratype of strongylosoma philippina",3
"paratype of strophia alba",3
"paratype of strophia carlotta",3
"paratype of strophia cinerea mutata",3
"paratype of strophia copia",3
"paratype of strophia curtisii nivea",3
"paratype of strophia lentiginosa",3
"paratype of strophia pannosa",3
"paratype of strophia restricta",3
"paratype of strophocheilus granulosus abbreviatus",3
"paratype of stylocellus globosus",3
"paratype of stylophora monticulosa",3
"paratype of succinea crocata",3
"paratype of symphoromyia kincaidi",3
"paratype of symphurus billykrietei",3
"paratype of synageles occidentalis",3
"paratype of syrrhopus montium",3
"paratype of syrrhopus pardalis",3
"paratype of syspacephalus cadyi",3
"paratype of tabanus columbus",3
"paratype of tabanus darlingtoni",3
"paratype of tabanus dunni",3
"paratype of tachys fitzroyi",3
"paratype of tachys pubifrons",3
"paratype of tachys submutatus",3
"paratype of taheitia arcasiana cookei",3
"paratype of telmatobius halli halli",3
"paratype of terebra hoffmeyeri",3
"paratype of testudo schonlandica",3
"paratype of tetragnatha branda",3
"paratype of tetramorium peritulum",3
"paratype of tetrorchis erythrogaster",3
"paratype of thecla pseudolongula",3
"paratype of theridion elli",3
"paratype of theridion exlinae",3
"paratype of theridion petrum",3
"paratype of theridion positivum",3
"paratype of thyone grisea",3
"paratype of thyone micra",3
"paratype of thyridia grandior",3
"paratype of thyroptera tricolor albigula",3
"paratype of tichoporus pacificus",3
"paratype? of tidops echinopus",3
"paratype of tityus footei",3
"paratype of trachelopachys bicolor",3
"paratype of trachymyrmex nogalensis",3
"paratype of trachymyrmex smithi neomexicanus",3
"paratype of trachyrhinus rectipalpus",3
"paratype of trechomorpha meleani",3
"paratype of tretioscincus bifasciatus kugleri",3
"paratype of trimma squamicana",3
"paratype of trimma taylori",3
"paratype of trochatella pulchella",3
"paratype of troglosiro wilsoni",3
"paratype of tropidophis caymanensis parkeri| additional material of tropidophis parkeri",3
"paratype of tropidophis haetianus hemerus",3
"paratype of tropidophorus hainanensis",3
"paratype of tropidophorus rivularis",3
"paratype of troschelviana hians bicarinata",3
"paratype of tudora megacheilos nondeklipensis",3
"paratype of tudora muskusi muskusi",3
"paratype of typhlops monastus geotomus",3
"paratype of typhlops tettensis rondoensis",3
"paratype of typhlops uluguruensis",3
"paratype of uloborus bispiralis",3
"paratype of uloborus conus",3
"paratype of urocoptis delectabilis florenciana",3
"paratype of urocoptis exquisita",3
"paratype of urocoptis morenoi",3
"paratype of urocoptis turneri",3
"paratype of uspachus colombianus",3
"paratype of ussurites mansfieldi",3
"paratype of veromessor smithi",3
"paratype of verrucocoeloidea liberatorii",3
"paratype of vieitezia luzmurubeae",3
"paratype of watobius anderisus",3
"paratype of wulfila modesta",3
"paratype of xenopus lenduensis",3
"paratype of xylophaga muraokai",3
"paratype of xyloredo nooi| voucher of xyloredo nooi",3
"paratype of zalmoxis falcifer",3
"paratype of zalmoxis princeps",3
"paratype of zalmoxis princeps| genetic voucher of zalmoxis",3
"paratype. published 1912.",3
"paratype, unfigured",3
"paraype",3
"plastoholotype.",3
"plastoholotype. published 1918.",3
"plastoneotype",3
"plasto-plesiotype",3
"plastotype (paleontology) of psammechinus mirabilis",3
"plastotype (paleontology) of pygurus montmollini",3
"plastotype (paleontology) of tropites acutangulus timorensis",3
"plastotypes",3
"plesiotypes",3
"plesioype",3
"possible type",3
"replica of figured specimen",3
"syntype; holotype; syntype",3
"syntype of acanthocottus sellaris",3
"syntype of acanthomyrmex dyak",3
"syntype of achatina albopicta",3
"syntype of achatinella baldwinii",3
"syntype of achatinella pfeifferi",3
"syntype of aelurichthys pinnimaculatus",3
"syntype of aenictus camposi",3
"syntype of aenictus eugenii caroli",3
"syntype of aglaophenia insolens",3
"syntype of <a href=\http://arctos.database.museum/name/notiosorex dalquesti\>notiosorex dalquesti</a>, page 162 in <a href=\http://arctos.database.museum/publication/10005486\>carraway 2010</a>",3
"syntype of alburnus rubellus",3
"syntype of alecto meridionalis| paralectotype of comactinia meridionalis meridionalis",3
"syntype of alepidaster",3
"syntype of allomerus octoarticulatus var. melanoticus",3
"syntype of amara afoveolata",3
"syntype of amarynthis muscolor",3
"syntype of amblyopone australis levidens var. queenslandica",3
"syntype of amnicola sayana",3
"syntype of amphiura carchara",3
"syntype of amphiura duplicata",3
"syntype of anacampta latiuscula",3
"syntype of anasimus fugax",3
"syntype of anchonoderus quadrinotatus",3
"syntype of anculotus kirtlandianus",3
"syntype of anisonotus curvirostris",3
"syntype of anochetus haytianus",3
"syntype of anochetus haytianus longispina",3
"syntype of anolis polylepis",3
"syntype of anthrax arethusa",3
"syntype of anthrax faustina",3
"syntype of anthrax lateralis arenicola| paralectotype of anthrax lateralis arenicola",3
"syntype of aphaenogaster (attomyrma) texana var. miamiana",3
"syntype of aphaenogaster smythiesi sinensis",3
"syntype of aphaenogaster subterranea valida var. manni",3
"syntype of apristus cordicollis",3
"syntype of apterostigma auriculatum",3
"syntype of argyromoeba daphne",3
"syntype of arius fuerthii",3
"syntype of asanada brevicornis",3
"syntype of asilus sackeni",3
"syntype of asilus virginicus",3
"syntype of astarte nana",3
"syntype of astarte smithii globula",3
"syntype of asterias similispinis",3
"syntype of asteronyx dispar",3
"syntype of astyanax gracilior",3
"syntype of athabaskia ostheimeri",3
"syntype? of avicula lurida",3
"syntype of azteca lanuginosa pruinosa",3
"syntype of azteca velox paraensis",3
"syntype of azteca xanthochroa isthmica",3
"syntype of bankia occasiuncula",3
"syntype of bathyplax typhla",3
"syntype of berosus exilis",3
"syntype of berosus subsignatus",3
"syntype of blepharidatta brasiliensis",3
"syntype of blothrophyllum zaphrentiforme",3
"syntype of bombylius albicapillus| paralectotype of bombylius albicapillus",3
"syntype of boreotrophon actinophorus",3
"syntype of brachymyrmex pictus balboae",3
"syntype of brisinga panamensis",3
"syntype of bronteopsis gregaria| voucher of bronteopsis gregaria| voucher of bronteopsis gregaria",3
"syntype of bufo lonnbergi",3
"syntype of bulimus calobaptus",3
"syntype of bulinus boholensis",3
"syntype of bulinus calista",3
"syntype of bulinus diana",3
"syntype of bulinus luzonicus",3
"syntype of bulinus opalinus",3
"syntype of bulinus partuloides",3
"syntype of bulinus pictor",3
"syntype of bumastus lioderma",3
"syntype of callicera johnsoni var. auripila| paralectotype of callicera johnsoni var. auripila",3
"syntype of callinicus calcaneus",3
"syntype of callogaza (microgaza) rotella",3
"syntype of calosoma macrum",3
"syntype of calosoma morrisoni",3
"syntype of calosoma triste",3
"syntype of calosoma wilcoxi",3
"syntype of calotes elliotti",3
"syntype of cambarus palmeri longimanus",3
"syntype of cambarus putnami",3
"syntype of cambarus setosus",3
"syntype of camponotus acutirostris primipilaris",3
"syntype of camponotus capperi formosulus",3
"syntype of camponotus dromas",3
"syntype of camponotus fieldellus",3
"syntype of camponotus gilviventris renormatus",3
"syntype of camponotus hapi",3
"syntype of camponotus herculeanus ligniperdus var. rubens",3
"syntype of camponotus howensis",3
"syntype of camponotus macilentus duncanensis",3
"syntype of camponotus maculatus fraterculus",3
"syntype of camponotus maculatus ocreatus",3
"syntype of camponotus midas",3
"syntype of camponotus mirabilis",3
"syntype of camponotus picipes pilosulus",3
"syntype of camponotus planus fernandinensis",3
"syntype of camponotus planus hephaestus",3
"syntype of camponotus planus sansalvadorensis",3
