"identifiedBy","reps"
"C. L. Smith, D. C. Ferguson",1
"C. L. Smith, Karsten E. Hartel",1
"C. L. Wilton",1
"C. Marcella",1
"C. M. Barber",1
"C. M. Caverly",1
"C. Moore",1
"C. Mortiz",1
"Cobban Et Al",1
"Cobban; Skelton; Kennedy",1
"Cobban, W",1
"Cobos",1
"Cocks",1
"C. O'D. Iselin",1
"Coggar",1
"Coleman J. Goin, Walter Auffenberg",1
"Cole; Vaughan",1
"Collett",1
"Collins,J",1
"Col. Richard H. Beddome",1
"Comellini",1
"Com. Perry",1
"Condon, Thomas",1
"Condon, W. H.",1
"CONKIN, CONKIN",1
"Conn",1
"(Conrad), Billings+Cleaves",1
"(Conrad), Carlton Brett, Thomas E. Whiteley, P. Allison, E. L. Yochelson",1
"(Conrad), Evitt+Whittington",1
"(Conrad), Walcott",1
"(Conrad), Whittington",1
"(Conrad), Willard",1
"(Conrad), William More Gabb",1
"Conrand, Clark",1
"Constable",1
"Conway Morris+Collins",1
"Conway Morris, Simon; Peel, John S.",1
"Cooper; Shimer; Shrock",1
"(Corda), Raymond",1
"Corda, Whittington",1
"Corless, F. T.",1
"Corn.",1
"CORNUEL",1
"Correa, et al.",1
"(Corsey)",1
"Coryell",1
"CORYELL | BILLINGS",1
"CORYELL | FIELDS",1
"CORYELL | KOGATZ",1
"CORYELL | SAMPLE",1
"CORYELL, SAMPLE, JENNINGS",1
"(Coryell+Schenck), Harris",1
"CORYELL, SOHN",1
"CORYELL | WILLIAMSON",1
"Cossmann, Amadeus William Grabau",1
"(Cotteau",1
"(Cotteau), Cutress",1
"(Cotteau), Donovan",1
"Cotteau, Donovan",1
"Cotteau, Jackson",1
"(Cotteau), Kier",1
"Coues, Elliott",1
"COX",1
"(Cox), Bernhard Kummel",1
"Cox, Geinitz",1
"C. Pittman",1
"C. P. Kristensen",1
"C. P. Kristenson",1
"C. P. Whitney",1
"Cracraft",1
"Craig R. Baird",1
"Cramer",1
"Crampton",1
"Crawford",1
"C. Ray",1
"Crespin",1
"C. Rhiems",1
"C. Richard Robins, Robert N. Lea",1
"Crockford",1
"C. Rodriguez",1
"Crombie",1
"Cross, W. T.",1
"Crumly",1
"C, S",1
"C. Schander, 28 Jan 1999",1
"C. S. McCarthy",1
"C. Smith",1
"C.S. Quelch",1
"C. Stanzel",1
"C. Steinback",1
"C. Tara, 18.iv.1976",1
"Cumings 1976",1
"Cummings",1
"Cummings 1977",1
"Curry; Williams",1
"Curt Walker",1
"Cush",1
"(Cushman)",1
"CUSHMAN | APPLIN",1
"CUSHMAN, ELLISOR",1
"CUSHMAN (genus)",1
"CUSHMAN, HANNA",1
"CUSHMAN, HARRIS",1
"Cushman, Joseph",1
"Cushman; Leavitt",1
"CUSHMAN | OZAWA",1
"CUSHMAN, OZAWA",1
"Cushman, Parker",1
"CUSHMAN, PONTON",1
"CUSHMANS, APPLIN",1
"Cushman; Stewart",1
"CUSHMAN | STEWART",1
"CUSHMAN, STEWART",1
"Cushman; Tappan Loeblich, Helen N.",1
"Cushman; Todd; Smith",1
"Cushman; White",1
"CUSHMAN, WICKENDEN",1
"C. Vaurie",1
"C. Villars",1
"CWB? 23 Sep 1965",1
"C. W. Swett",1
"Cyril F. dos Passos",1
"Czerkas; Glut, Donald F.",1
"Czesław M. Bieżanko",1
"CZJEK",1
"(CZJEK)",1
"D",1
"Daeschler",1
"D. A. Jenkins",1
"Dallman",1
"Dall; Pilsbry",1
"Dall, W. H.",1
"(Dalman), Raymond",1
"Dalman, Schuchert+Cooper",1
"Dalquest",1
"Dames and Moore Inc.",1
"Damon, F. W.",1
"Damuth",1
"Dana Roffler",1
"Dan Boyd",1
"Dane E. McDonald, Hilke Ruhberg, Savel R. Daniels",1
"Dan Fair",1
"Daniel",1
"Daniel B. Blake, Thomas E. Guensburg",1
"Daniel Danielssen, Johan Koren",1
"Daniele Guinot",1
"Daniel J. Bates",1
"Daniel L. Gebo, Kenneth D. Rose",1
"Daniel Peppe",1
"Daniel S. Cooper",1
"Danil S. Aristov, Alexander P. Rasnitsyn",1
"Dan Johnson",1
"(d'Archiac",1
"(d'Archiac), Jackson",1
"(D'Archiac+Verneuil), Schuchert+Cooper",1
"Darling",1
"D. A. Robak",1
"Darton",1
"Daud",1
"Daud, Alexander Strauch",1
"DAuth",1
"Dautzenberg, O. Bavay",1
"Dave Doorenbos",1
"Dave Olnes",1
"David A. Ebert",1
"David A. Ebert, Paul Clerkin",1
"David Bardack, Gloria Sprinkle",1
"David B. Norman",1
"David B. Taylor",1
"David B. Weishampel, Coralia-Maria Jianu, Zoltan Csiki, David B. Norman",1
"David C. Carlson",1
"David Combosch",1
"David C. Parris, J. A. Holman",1
"David D. Gillette",1
"David G. Smith, Eugenia B. Bohlke",1
"David G. Smith, James E. Craddock, Karsten E. Hartel",1
"David G. Smith, Samuel Walton Garman",1
"David G. Smith, Theodore W. Pietsch",1
"David J. Bohaska",1
"David Lawrence",1
"David L. Shores, Charles Karnella",1
"David L. Shores, Karsten E. Hartel",1
"David, Max Poll",1
"David Miller",1
"David M. Rudkin, Ronald P. Tripp",1
"David Peltier",1
"David Policansky",1
"David R. Pilbeam",1
"David R. Schwimmer",1
"David S. Berman",1
"David S. Berman, Stuart S. Sumida",1
"David S. Jordan",1
"David Starr Jordan, Cloudsley M. Rutter",1
": D. B. Berner",1
"D, B, D",1
"D. Bickel",1
"D. Blake",1
"D. Braun",1
"D. Campbell",1
"D.C. Collier",1
"D. Clayton",1
"D. Cox, Thomas J, Koob",1
"D. C. S., vi.1983",1
"D. DeLeon",1
"D. de Miralles & de Villalobos, iv.1996",1
"D. de Miralles & de Villalobos, iv. 1996",1
"D. de Miralles & de Villalobos, vii.1996",1
"D. Dirksley",1
"D. Durham",1
"Dean & McHugh",1
"DeAnne Pinney",1
"DEC",1
"Defrance",1
"(DeFrance)",1
"(Defrance), Muir-Wood+Cooper",1
"DeKay, Carlton Brett, Thomas E. Whiteley, P. Allison, E. L. Yochelson",1
"(Dekay), Jackson",1
"Dekay, Walcott",1
"DeKay, Walcott",1
"Dekay, Woodward",1
"De Klasz, Ivan",1
"deKoninck and LeHon, Bodenbender",1
"de Koninck Collection",1
"Del Fontrie",1
"DELO",1
"Delphine Angst, Eric Buffetaut, Christophe Lecuyer, Romain Amiot",1
"de Montfort",1
"(DeMontfort)",1
"(Denckmann), G. A. Moore",1
"Denise Sigogneau-Russell",1
"Dennis Price",1
"Denny",1
"Derek J. Helmericks",1
"(Deshayes)",1
"DESHAYES",1
"Desmarest, Meyer",1
"(Desmoulins), Kier",1
"(Desor",1
"(Desor)",1
"(Desor), Jackson",1
"(Desor), Kier",1
"Despax",1
"(deVerneuil), Muir-Wood+Cooper",1
"Deville",1
"DeVis",1
"DeVried, T.J.",1
"DeVries. T.",1
"DeVries, T. 2018",1
"DeVries,T.J.",1
"D. Fenner",1
"D. Fletcher",1
"D. F. Parkinson",1
"D. G. H. Halstead",1
"D. Harris",1
"Diane Benson",1
"Diane Pence",1
"Dick Fitzgerald",1
"Dick Turner",1
"(Diener), Bernhard Kummel",1
"Digby",1
"Dikow, Torsten, (ENT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",1
"Division of Vertebrate Paleontology, Yale Peabody Museum",1
"Dixen",1
"D. J. Bird, ii.1989",1
"D. & J. Eff",1
"D. J. K., 8.x.1979",1
"D. J. Mott",1
"D. Kalter",1
"D. K. C.",1
"DLB",1
"D. L. Beechey",1
"D. L. Deller",1
"D. Lindberg",1
"D. Martin",1
"D.M. Banner",1
"D. M. Hallis",1
"D. Moore",1
"D. Niles",1
"Dom Kemmett",1
"Donald B. Macurda, Jr., Bodenbender",1
"Donald Flescher, Diego F. B. Vaz",1
"Donald G. Broadley, Allen E. Greer, Jr.",1
"Donald G. Broadley, Carl Gans, John D. Visser",1
"Donald J. Gunn",1
"Donald Kramer",1
"Donald Normandeau",1
"Donald S. Erdman",1
"Donald W. Tinkle, Robert G. Webb",1
"Donavan",1
"Don Baird",1
"Don Clements",1
"Don J. Miller",1
"Don Miller III",1
"Donna Shantz",1
"Donn E. Rosen, Reeve M. Bailey",1
"Donor",1
"D. Opreskpo?",1
"(d'Orb)",1
"d'Orb.",1
"D'ORB.",1
"(d'Orbigny)",1
"D'ORBIGNY, CUSHMAN, BARKSDALE",1
"Dougherty",1
"Douglass F. Hoese, James E. Böhlke, C. Richard Robins",1
"Douglass F. Hoese, Ronald Fricke",1
"Douglas Updike",1
"Doug M. Boyer",1
"DOUV",1
"Douville, Buckman",1
"D. Palmer",1
"D. Pollard, McPherson",1
"Dr. A.J. (Ton) de Winter, N. Vastenhout",1
"Dr. Berry",1
"Dr. Brett C. Ratcliffe",1
"Dr. Canfield",1
"Dr. Carol W. Allison, Dr. Richard C. Allison",1
"Dr. Colin D. Sumrall",1
"D. R. Cook, iii.1975",1
"Dr. Daniel",1
"Dr. David L. Meyer",1
"Dr. Edward J. Olsen",1
"Dr. Erle Kaufman",1
"Drevermann, Cloud",1
"Dr. E. von Martens",1
"Dr. Gregg",1
"Dr. Hayato Ikeda",1
"Dr. Hendrik Mueller",1
"Dr. Henry",1
"Dr. Hill",1
"Dr. Holbrook",1
"Dr. Hongshan Wang",1
"Drinnan, A.N., Crane, P.R.",1
"Dr. Ino",1
"Dr. Jens Prena",1
"Dr. Jiri Fryda",1
"Dr. Joseph A. Cushman, C. I. Alexander",1
"Dr. Joseph A. Cushman, Frances L. Parker",1
"Dr. Joseph A. Cushman, G. Dallas Hanna",1
"Dr. Joseph A. Cushman, Hollis D. Hedberg",1
"Dr. Joseph A. Cushman, R. M. Stainforth",1
"Dr. Joseph A. Cushman, Ruth Todd",1
"Dr. Joseph A. Cushman, Yoshiaki Ozawa",1
"Dr. Kenneth E. Caster",1
"Dr. L. Patricia Hernandez",1
"Dr. Margaret K. Balbach",1
"Dr. Maria von Balthazar",1
"Dr. Norman F. Johnson, Lubomir Masner, Luciana Musetti",1
"Dr. O. P. Hay",1
"D. Rossman",1
"D. R. Pack-Beresford",1
"Dr. Richard E. Thoms",1
"Dr. Richard Highton",1
"Dr. Richard Highton, Arden H. Brame",1
"Dr. Richard H. Tedford",1
"Dr. Richard M. C. Eagar",1
"Dr. Robert Fleischer",1
"Dr. Rodolfo Ruibal, Ernest E. Williams",1
"Dr. Roger Powers",1
"Dr. Rudolf Kohout",1
"Dr. Steven D. Sroka",1
"Drummond, B",1
"D. Russell",1
"Dr. Whitehead",1
"Dr. Yoshiaki KAI",1
"D. S. Broad, Alfred C. Lenz",1
"D. Solander",1
"D.S. Taylor",1
"D. Stone",1
"D. Tagayev",1
"D. Tippett",1
"Dubois",1
"Duerr, Richard",1
"Dum.Bib.Dum",1
"Dumeril, Brown",1
"Dun.",1
"Dupius",1
"Durden, Christopher",1
"Dwight",1
"Dwight Blaney",1
"D. W. Johnston",1
"D. W. Kirtley",1
"D. W. Smith",1
"D.W.W. Anderson",1
"Dyer",1
"E. A.",1
"E. A. Lachner, Charles Karnella",1
"E. A. Lachner, Robert E. Jenkins",1
"E. A. Meavus",1
"Eamonn Kelly, 1998",1
"E. A. Narse, 1972",1
"E. A. Nerse",1
"E A Nesbitt",1
"E.A. Nesbitt",1
"E. A. Norse, 1972",1
"Eardley",1
"Earland, A.; Heron-Allen",1
"Earl Douglass",1
"Earl Edward Deubler",1
"Earl Mannings",1
"Earl Prince",1
"Earl Redman",1
"Earnes, E.H.",1
"E. Ashby",1
"Eaton, J.",1
"(Eaton), Shimer",1
"Eaton, Walcott",1
"E. A. W. Ebelina",1
"E. B. Cram",1
"Eberhard Fraas",1
"E. B. Houghton",1
"E. Burrill",1
"E. B. Webster",1
"E. C. Faust",1
"Eckels",1
"E. C. Platzer",1
"Eddie Read",1
"Edgar Allen",1
"Edgar.vii.1964",1
"Edgecombe",1
"Ed  H. East",1
"Ed. H. East",1
"Edmond V. Malnate, Garth L. Underwood",1
"Edouard A. Lartet",1
"Eduardo",1
"Eduard Ruppell",1
"Edward Arnold",1
"Edward Charlesworth",1
"Edward Chitty",1
"Edward E. Backus",1
"Edward Gerrard Sr., Edward Gerrard, Jr.",1
"Edward G. Humphrey",1
"(Edward+Haime), Stumm",1
"Edward Harrison Taylor, Hobart Muir Smith",1
"Edward Howe Forbush",1
"Edward J. Valauskas",1
"Edward Kiker",1
"Edward M. Kindle",1
"Edward Oskar Schmidt, Alpheus Hyatt",1
"Edward O. Wiley, Anne W. Everly",1
"Edward O. Wiley, Karsten E. Hartel",1
"Edward Payson Van Duzee",1
"Edward P. Wright, Theophile R. Studer",1
"Edwards and Haime",1
"(Edwards+Haime)",1
"Edwards+Haime",1
"Edward T. Nelson",1
"Edward V. Gage",1
"Edward W. Claypole",1
"Edward William Nelson, Edward Alphonso Goldman",1
"EDWIN H. COLBERT",1
"Edwin J. Pickett",1
"Edwin Linton",1
"Edwin P. Creaser",1
"Edwin T. Newton",1
"E. E. Murphy",1
"Eff",1
"Effie Forthum",1
"Effie Weter",1
"Efford",1
"E. F. Rick",1
"Egger",1
"E. G. Linsley",1
"Egozcue, Hubert Lyman Clark, Benjamin Walworth Arnold",1
"Egozcue, Jackson",1
"E. G. Vanatta",1
"E. H. Colbert",1
"E.H. East",1
"Ehlers; Stumm, Erwin C.",1
"(EHRENBERG)",1
"EHRENBERG VAR.",1
"E. H. Short",1
"Eichwald, Phleger",1
"Eigil Nielsen",1
"Eileen H. Beaumont",1
"Einer Lonnberg",1
"Eisen",1
"E. Isidno",1
"E. J. Benedict",1
"E.J. Dornfeld",1
"E. Jewett",1
"EJR",1
"E. Keiley, James E. Morrow, Jr.",1
"E. Kraffe",1
"Elaine Anderson",1
"Elaine L. Kelley, James E. Morrow, Jr.",1
"Elaine L. Kelley, Judy D. Weinstein, JM",1
"Elbert R. Jaycox, Wallace E. LaBerge",1
"Elder, W. P.",1
"Eleanor Emerson",1
"Elegantula",1
"ELEY",1
"Elijah Brown",1
"Elijah J. Talamas",1
"Elijah J. Talamas, Dr. Norman F. Johnson",1
"Eli M. Sarnat, Evan Economo",1
"Elise Zylstra",1
"Elizabeth A. Nesbitt",1
"Elizabeth G. Clark",1
"Elizabeth Nesbitt",1
"Elizabeth S. Paynter, Raymond A. Paynter, Jr.",1
"Elizabeth Strasser",1
"Elkins; Wieland",1
"E.L. Layard via M.C.Z. misc.",1
"Ellen Freund",1
"Elles, Kindle+Whittington",1
"Ellinwood",1
"Ellis L. Yochelson",1
"Ellis, Messina",1
"Ellis; Tschundy",1
"Elwood C. Zimmerman",1
"Elwyn L. Simons, David R. Pilbeam, Stephen J. Boyer",1
"Elwyn L. Simons, S. R. Chopra",1
"Ely",1
"Emanuel Tschopp",1
"E. McCammon",1
"Emery Perkins Chace",1
"Emilio F. Garcia",1
"Emilio Rolán, Alana Rivera",1
"Emilio Rolán, Federico Rubio, Raúl Fernández-Garcés",1
"Emilio Rolán, Raúl Fernández-Garcés",1
"Emily A. Glover",1
"Emily A. Glover, John D. Taylor",1
"Emily Standen",1
"Emma E. Mackay",1
"Emmanuel J. Vreven, Melanie L. J. Stiassny",1
"Emmanuel L. Martin",1
"Emmett Reid Dunn, Emlen",1
"(EMMONS)",1
"(Emmons), Clark",1
"E. M. Nutting",1
"Empson-Morin",1
"Emry, Robert J.; Dawson",1
"Endo; Morita",1
"E. Nesbitt",1
"Enrique del Solar",1
"Enrique Gonzalez",1
"E. Palmer",1
"E. P. Creaser",1
"E. P. Vallam",1
"E. Quinter",1
"E. Reitter",1
"E. Richardson",1
"Erich Daecke",1
"Erich J. Zugmayer",1
"Eric J. Dotseth, Dr. Norman F. Johnson",1
"Eric J. Sargis",1
"Eric S. Paysen",1
"Erik Amati",1
"Erik A. Stensio",1
"Eri Katayama",1
"Erik Bertelsen, David B. Grobecker",1
"Erik Bertelsen, et al.",1
"Erik Bertelsen, Gerhard Krefft",1
"Erik Jarvik",1
"Erik Ragsdale, Natsumi Kanzaki, Ralf J. Sommer",1
"Erikson",1
"Erlandson, Jon",1
"Erling Dorf",1
"Ermine C. Case",1
"Ermine C. Case, Samuel W. Williston",1
"Ernest A. Liner, J. R. Dixon",1
"Ernest Ingersoll",1
"Ernesto L. Lavina",1
"Ernst",1
"Ernst Stromer",1
"E. Ross Allen",1
"E. Ruppert",1
"E. R. Warren",1
"Eschscholtz",1
"E. Seaver",1
"Eshleman; Grady",1
"E. Simon",1
"E. Simpson",1
"Esker; Levin",1
"Esper",1
"E. Stentz",1
"Ester W. Hall",1
"Estes, Richard, (SDSU), San Diego State University (UNITED STATES)",1
"Esther Wheeler",1
"Ethan Nedeau",1
"Ethel W. Rorer",1
"Etheridge",1
"Etheridge, Kobayashi",1
"E. Todd",1
"Eugene B. Lander",1
"Eugene Dubois",1
"Eugene S. Gaffney, Peter A. Meylan, Roger C. Wood, Elwyn L. Simons, Diogenes de Almeid Campos",1
"Euribe",1
"Evan Quah",1
"Evenhuis, Neal",1
"Everett C. Olson",1
"E/V Nautilus-077, Ocean Exploration Trust, Peter Etnoyer",1
"E. W. Johnson",1
"E. W. Stone Jr.",1
"Eyd., Sons.",1
"F.A.C. Jr.",1
"Falcone",1
"F. A. Pitelka",1
"Farish A. Jenkins, Jr.",1
"Farlow, James O., Indiana-Perdue Univ.",1
"(Faujas de Saint-Fond), Warren D. Allmon",1
"Faujas de Saint-Fond, Warren D. Allmon",1
"Faye B. Howard",1
"F.B.",1
"F. Baker, G.W.",1
"F. Benedetti",1
"F.B. Howard",1
"F.B. Smithe",1
"F. B. White",1
"F. C. Fletcher",1
"F. C. Gray",1
"F.C. Gray's Fund & Bartlett",1
"F. C. Willard",1
"Feduccia; Martin, Charles",1
"Felch, Marshall Parker",1
"Feldmann, Rodney",1
"Feldmann, Rodney M., Kent State University (UNITED STATES)",1
"Feldmann, Rodney M., (UNITED STATES)",1
"Felix Amat",1
"Fenel",1
"Fenja Brodo",1
"Ferdinand Broili",1
"Ferdinand Canu, Ray Smith Bassler",1
"Fermín Z. Cervera",1
"Fernand Angel",1
"Fernando E. Novas",1
"Fernando E. Novas, Alexis M. Aranciaga Rolando, Federico L. Agnolin",1
"Fernando Fernandez",1
"Ferr.",1
"Ferris",1
"F.E.S.",1
"F.G. Clark",1
"F. Grady",1
"F.H. Butler",1
"F H. Day",1
"F. H. S. Roberts",1
"Fichtel, Moll",1
"FICHTEL| MOLL",1
"FICHTEL | MOLL",1
"fide Causey, 1963",1
"fide Causey, 1964",1
"Fide Savage",1
"Field Museum of Natural History",1
"Fig",1
"Filipe M. Porteiro, Leslie S. Kaufman",1
"Fillhol",1
"FInish",1
"Finney; Jacobson",1
"Fitchell, Moll",1
"Fitchel, Moll",1
"FITCHEL, MOLL",1
"Fitz.",1
"F. J. Madsen",1
"F. Krantz",1
"F. Krenzfeldt",1
"Fletch",1
"F.Lob0",1
"Flores, Rodriguez",1
"Flores, Roy W. McDiarmid",1
"F. L. W. Richardson, Jr.",1
"FM",1
"F. Mitchell",1
"F. Mueller",1
"F. Muller",1
"F. M. Woodruff",1
"F. O. Denny",1
"Foerste; Savage",1
"Follet",1
"(Fontannes), Smith",1
"(Foord)",1
"Forest?",1
"Forest; Laurent; Chace",1
"Forest or de Laurent?",1
"FORNASINI",1
"(Forskal)",1
"(FORSKAL-NAUTILUS)",1
"(FORSKEL)",1
"Forster",1
"Forster and Platnick",1
"Forster & Platnick, 1976",1
"Fortey",1
"Fortey, Richard A.",1
"Fouquette, Pyburn",1
"Fournier, D.G.",1
"F. P. Gulliver",1
"Françoise King",1
"François Jules Pictet",1
"Frances L. Burnett",1
"Francisco Mago-Leccia, et al.",1
"Francisco Provenzano, Ramiro Barriga",1
"Francis Harper",1
"Francis H. Butler",1
"Francis T. Colby",1
"Francis W. Cragin, Sr.",1
"Francois Therrien, Donald M. Henderson, Christopher B. Ruff",1
"Franco Rasetti, Franco Rasetti",1
"Franco R. Rasetti",1
"Frank C. Johnson",1
"Frank C. Whitmore",1
"Frank C. Whitmore, USGS",1
"Frank E. Kleinschmidt",1
"Franklin H. Chermock, Donald P. Frechin",1
"Frank, Marc S.",1
"Frank O. Perkins",1
"Frank Pezold, Karsten E. Hartel",1
"Frank T. Cockerton",1
"Frank-Thorsten Krell",1
"Frank T. Woodbury",1
"Franz Nopcsa",1
"Franz Weidenreich",1
"Franz Werner Collection",1
"Fraser",1
"Fr. Chrysanthus",1
"Fred A. Ober",1
"Fred B. Phleger",1
"Frederga",1
"Frederick C. Shaw, Pierre J. Lespérance",1
"Frederick E. Grine",1
"Frederick E. Grine, Brian D. Hahn",1
"Frederick H. Berry, Peter J.P. Whitehead",1
"Frederick M. Gaige",1
"Frederick S. Szalay, Eric Delson",1
"Frederick W. Styan",1
"Frederick W. Townsend",1
"Fred G. Thompson",1
"Fredrik Pleijel",1
"Fremd, Theodore",1
"FreshMarine.com",1
"Frey, Robert C.",1
"Frick",1
"Friedmann",1
"(Fritsch), Bernhard Kummel",1
"Fritsch, Raymond",1
"Frits Johansen",1
"Fritts",1
"Fritz Nieden",1
"FRIZZELL",1
"Frizzell, D. L.",1
"Frost, Bagnara",1
"Fr. Smith",1
"F. Schmid",1
"F. T. Knapp",1
"Funderburg",1
"Fung Ying Cheng",1
"F. Witte",1
"F. W. Ring",1
"F. W. Rohwer",1
"G",1
"Gabau",1
"(Gabb",1
"Gabb, William M.; Horn, George H.",1
"Gabe Walker, Andrew D. Williston",1
"Gahn, Forest",1
"Gahn, Forest J., (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",1
"Gainer, S",1
"Gallagher, Dixon",1
"GALLOWAY, HEMINWAY",1
"Galloway, Morrey",1
"Galton, Peter M.; Powell",1
"Garassino, A.",1
"G. Archey",1
"Garden",1
"Gardiner, R. H.",1
"(Gardner)",1
"Gardner Peruvian Expedition",1
"Gardner?, Stephenson",1
"Gareth J. Nelson, Rex Passion",1
"Garry F. Mayer, Janis Speel, C.B. Wood",1
"Garry F. Mayer, J. E. Roughgarden",1
"Garvie, Chris",1
"Gary C. B. Poore, Keiji Baba, Mary K. Wicksten",1
"Gary Peters",1
"Gary Rosenthal",1
"Gary S. Morgan, Spencer G. Lucas",1
"Gass",1
"Gaud & Atyeo",1
"Gavin J. P. Naylor",1
"G. Beaton",1
"G. B. Penners",1
"G. Bračko, Marek L. Borowiec",1
"G. Brown Goode, Karsten E. Hartel, Tarleton H. Bean",1
"G.B. Sennett",1
"G. C. B. Poore & M. de Saint Laurent, 1990-92, Gary C. B. Poore",1
"G. C. Cantwell",1
"GCM-fish ID, Elmer J. Gutherz",1
"G. David Johnson, John R. Paxton",1
"G. David Johnson, Karsten E. Hartel",1
"G. David Johnson, Ralf Britz",1
"G. D., HANMI,  M.",1
"G. E. Browne",1
"G. Edmonds & D.G. Smith",1
"Gehlen",1
"GEINITZ",1
"(Geinitz), Jackson",1
"Geisler, Jonathan H.",1
"Gendon",1
"Gennady M. Dlussky",1
"Gentili",1
"Geo. Berry",1
"George Callison",1
"George C. Miller, William J. Richards",1
"George Doumani",1
"George E. Johnson",1
"George E. MacGinitie",1
"George Erickson",1
"George G. MacCurdy",1
"George Hanselman",1
"George Henry Hudson",1
"George H. Lowery, W. W. Dalquest",1
"George H. Ragsdale",1
"George Kennedy, LACM",1
"George M. Ehlers",1
"George, R.",1
"George R. Pilate",1
"George S. Myers, James E. Böhlke",1
"George Suckley",1
"George W. Peckham",1
"Georg Ritter von Frauenfeld",1
"Gerald Grellet-Tinner, Gareth J. Dyke",1
"Gerald L. Mackie, Brian T. Watson",1
"Gerardo de Iuliis",1
"Gerardo De Iuliis",1
"Gerardo González-Barba",1
"Gerardo Lamas Müller",1
"Gerhard Baechli",1
"Gerrais",1
"Gerrit S. Miller Jr, Glover Morrill Allen",1
"Gesner",1
"Geyer and Landing",1
"G. F. Gaumer",1
"G. Haghebaert",1
"G. Hartmann-Schröder",1
"G. H. Rodwell",1
"Gi.",1
"Gibbes",1
"Gibson, Matthew L., Curator of Natural History (CM), Charleston Museum (UNITED STATES)",1
"Giddings",1
"Gidley, G. W.",1
"Gidley; Kellogg",1
"Giffin",1
"Gifford",1
"Gilbert",1
"Gilbert C. Bourne",1
"Gilbert Grau",1
"Giles W. Mead, Jr., Donn E. Rosen",1
"Giles W. Mead, Jr., Ira Rubinoff",1
"Gill; Cobban",1
"Gill, Garry F. Mayer, Janis Speel",1
"Gillson, S.",1
"Gilson A. Rivas",1
"Gingerich, Philip D., (UMMP), University of Michigan (UNITED STATES)",1
"Giorgio Pannella",1
"(Girty)",1
"(Girty), Ciriacks",1
"(Girty), Young",1
"Gisele Y. Kawauchi, Mary E Rice",1
"Gislen",1
"GJG",1
"G. Kennedy",1
"G. Kennedy LACM",1
"Gladwyn Kingsley Noble, Parker",1
"G. Layard",1
"G.L.B. (ates?)",1
"Glenn Burghardt",1
"GLM, David W. Greenfield",1
"Glover Morrill Allen, Harold J. Coolidge, Jr.",1
"G. Lowe",1
"G. Lowe, 1925",1
"G. Mapstone",1
"G.N. di Sciara",1
"Godfrey, Stephen J., (CMM), Calvert Marine Museum (UNITED STATES)",1
"Goerich",1
"Goetz, Stefan",1
"(Goldf.)",1
"Goldfuss, Alpheus Hyatt",1
"(Goldfuss), Bruce Runnegar",1
"Goldman",1
"Goldsmith, N",1
"Gordon, Bernhard Kummel",1
"Gordon; Brown",1
"Gordon C. Baird",1
"Gordon, C. H.",1
"Gordon C. Snelling, Roy R. Snelling",1
"Gorski, John",1
"Goslin",1
"Gottfrid Agaton Adlerz",1
"Gottfried, Michael D., (MSU), Michigan State University (UNITED STATES)",1
"Gough",1
"Gould+Woodruff",1
"G. O. Welch",1
"Gozaki and Linan",1
"G, P",1
"G. Pohle",1
"G P. Srivastava",1
"Grababu",1
"Grace Pickford",1
"Grande, Lance, (FMNH), Field Museum of Natural History (UNITED STATES)",1
"Grant D. Zazula",1
"Grant; Eaton",1
"Grant+Hertlein",1
"Gravenh.",1
"Green, Whiteley",1
"Gregoriu Stefanescu",1
"Gregory P. Dietl",1
"GRICE",1
"Griffin",1
"Grinnell",1
"(Grote and Pitt)",1
"Grtenburger",1
"Grum, Isch.",1
"Grundel, Joachim",1
"G. Scholtz",1
"G. Storr",1
"G.T., Franco Rasetti",1
"Gthr",1
"Gthr.?",1
"Guibe, Maxime G. Lamotte",1
"Guilherme Gainett, et al.",1
"Guillaume Grandidier, G. Petit",1
"Guillermo San Martin, Luis Aguirre",1
"(Gulick)",1
"(Gullenhaal)",1
"(GUMBEL)",1
"Gumppenberg",1
"Gunnell, Gregg F., Duke University (UNITED STATES)",1
"Gurley",1
"Gus Ben David",1
"Gustaf Lindström",1
"Gustav A. Cooper, Carl O. Dunbar",1
"Gustav A. Stiasny",1
"Gustav Garlepp",1
"Gustav Lennier",1
"Guy C. Shortridge",1
"G. Williams",1
"G. Williamson, Jr.",1
"G.W.S.U.",1
"Gyllenhaal",1
"H.",1
"Haacke",1
"Haake",1
"Haang M. Kim",1
"Hacker, David G., (UNITED STATES)",1
"Hack, JT, John",1
"H. A. Cluff",1
"Hadley, Victor G. Springer",1
"H. A. Edwards",1
"Haekel",1
"Haimbach",1
"Hall, Alpheus Hyatt",1
"(Hall), Amadeus William Grabau",1
"Hall, Amadeus William Grabau",1
"Hall and Whitfield",1
"(Hall), Arthur L. Bowsher",1
"(Hall), August Frederick Foerste",1
"Hall, Bodenbender",1
"(Hall), Briggs and Edgecombe",1
"(Hall), Burgess",1
"(Hall+Clarke), Erben",1
"(Hall), Douglas L. John, Dr. Nigel C Hughes, Monica I. Galaviz, Gerald O. Gunderson, Ronald Meyer",1
"Hall, E.W.",1
"Hall, Kindle+Whittington",1
"(Hall), Leiberman",1
"(Hall), Lesperance",1
"(Hall), Meek",1
"Hall; Meek",1
"Hallock, P, Pamela",1
