"specificEpithet","reps"
"laticosta",409
"lirata",409
"bellula",408
"bronni",408
"buckleyi",407
"comes",407
"laevigatus",407
"linearis",407
"undatella",407
"chrysolaema",406
"collinum",406
"endroedyi",406
"livida",406
"kochii",405
"oblonga",405
"papuensis",404
"phillipsi",404
"tyrannus",404
"bison",403
"BURNSII",403
"eucnemis",403
"miliaris",403
"disjunctus",402
"limbata",402
"pelagica",402
"brunneicapillus",401
"cancellatus",401
"corona",401
"planumbona",401
"columbarius",400
"denticulata",400
"dyeri",400
"ebeninum",400
"huttoni",400
"geinitzianus",399
"herodias",399
"obscuripes",399
"peracuta",399
"simplicidens",399
"transversus",399
"clallamensis",398
"fasciculatus",398
"gibbera",398
"palliata",398
"truncatus",398
"uddeni",398
"waynense",398
"ambiguus",397
"arbucklensis",397
"floridensis",397
